r0,r1,r2,r3,r4,r5,E
1.7075609776,1.6460674269,1.6845608323,1.0140216521,0.9634937985,0.9759195472,0.0036926300
1.5781545432,1.5571547072,1.5990628119,0.9783907567,0.9593074325,0.9216626471,0.0037536700
1.6706537337,1.7078386187,1.6633873796,0.9976664940,0.9598784782,1.0302048556,0.0038147000
1.5811512933,1.6330513552,1.6569148067,0.9545808463,0.9317549351,0.9645796350,0.0038299600
1.6034355482,1.6369405853,1.6459894430,1.0105138864,0.9312915092,0.9730582156,0.0038528500
1.6640410193,1.6256992838,1.6369444720,0.9428701087,1.0249953040,0.9585127626,0.0038604800
1.5782250125,1.5781835482,1.5781798000,1.0009645806,1.0009597320,1.0009055728,0.0038681100
1.7240195808,1.5563820570,1.5863561555,0.9824086625,1.0165525818,0.9516400099,0.0039291400
1.6420337017,1.6741764164,1.7233466038,0.9946324482,0.9889140271,1.0379833091,0.0039520300
1.5633265334,1.6639730392,1.6059270119,0.9334084148,0.9612135309,1.0164504293,0.0039672900
1.6942643091,1.6414784230,1.6470933514,1.0159794364,1.0159255315,1.0152295342,0.0039825500
1.6643373473,1.6883309709,1.6301541355,1.0157272587,1.0154489460,1.0159584062,0.0039825500
1.6271556021,1.6805554191,1.6750963091,1.0158017897,1.0156772564,1.0156540009,0.0039901800
1.7172078823,1.6442683140,1.6113399182,1.0354817966,0.9640376120,0.9893459585,0.0040664700
1.6489826292,1.5744801335,1.5169173845,0.9866186922,1.0019613066,0.9854417924,0.0040664700
1.6450999531,1.6381550840,1.7368819474,0.9870893379,1.0350609950,0.9803393819,0.0041122500
1.6532283616,1.6874320405,1.6483326992,1.0007730851,0.9297343459,0.9899347773,0.0041580200
1.6988937035,1.5913173713,1.5682143969,0.9919198379,1.0146029818,0.9978315043,0.0041580200
1.5602770860,1.5617551080,1.5692292955,0.9752473258,0.9206273067,0.9475665281,0.0041656500
1.5864459332,1.5541594173,1.6271270532,0.9790776699,0.9942119512,0.9214580583,0.0041656500
1.7259632877,1.6470174406,1.7078505594,0.9631591165,1.0213024490,0.9757244904,0.0042495800
1.6117835160,1.5589523714,1.5645607994,1.0011546854,1.0009296646,1.0017586997,0.0042572100
1.5446748564,1.5980270374,1.5925617465,1.0018122451,1.0018467904,1.0001820363,0.0042648300
1.7550702377,1.6129332652,1.6378992104,0.9822033663,1.0281756029,0.9618059431,0.0042800900
1.6401987989,1.6721466137,1.6700188522,1.0031624177,1.0002900487,1.0426075965,0.0042953500
1.5172594330,1.5171343076,1.5171231020,0.9629454973,0.9629317753,0.9627677285,0.0043029800
1.6621726880,1.6778992104,1.6424337410,1.0398162380,0.9926079049,1.0137232878,0.0043182400
1.5173148642,1.5523046342,1.5790915055,0.9827224520,0.9919964071,0.9922785516,0.0043258700
1.6596714285,1.6436849071,1.6791173887,0.9909426357,1.0381515687,1.0170336231,0.0043258700
1.6254968718,1.5802490527,1.5018588242,0.9631854399,1.0045328995,0.9752375439,0.0043335000
1.7061754733,1.7137664754,1.6733372140,0.9904118546,0.9561197471,0.9973486851,0.0043335000
1.5500126208,1.6859115723,1.5686634941,0.9922438703,0.9548224572,1.0270770229,0.0043411300
1.6965281223,1.6965618089,1.6965724563,1.0171811685,1.0171823449,1.0171816442,0.0043640200
1.6965281223,1.6965618089,1.6965724563,1.0171811685,1.0171823449,1.0171816442,0.0043640200
1.6965281223,1.6965618089,1.6965724563,1.0171811685,1.0171823449,1.0171816442,0.0043640200
1.6503945812,1.5272196957,1.5759751073,0.9789747561,1.0193853192,0.9320881601,0.0043869000
1.6260482344,1.7147610687,1.6549883293,0.9704021524,0.9479099689,1.0357226445,0.0044097900
1.7678498002,1.6319275376,1.6265184514,1.0011931914,1.0204361416,0.9791597547,0.0044250500
1.6212178913,1.6210704784,1.6210719820,0.9421074784,0.9420928861,0.9418366111,0.0044326800
1.5816711624,1.6243208732,1.6428195731,0.9969939407,1.0282300039,0.9507352902,0.0044708300
1.5709083550,1.5963868053,1.5228266142,0.9956328361,0.9183014728,0.9715670229,0.0044784600
1.6796029454,1.5718159684,1.5133346688,0.9855861179,0.9907690441,0.9884839971,0.0044937200
1.6769466900,1.6637584572,1.7479935258,0.9804691953,0.9708068018,0.9895519716,0.0045089800
1.6755320457,1.6959135574,1.6732627922,0.9882303913,0.9380017347,0.9922031944,0.0045700100
1.7090020934,1.6820897495,1.7479238591,0.9859306339,0.9897449785,0.9940529149,0.0045776400
1.6781538399,1.6473629875,1.6956451721,0.9339265369,1.0118505706,0.9834527183,0.0046463000
1.5577178139,1.5896115943,1.5874749793,0.9887552551,0.9858799874,1.0281203435,0.0046463000
1.5797029502,1.5953603882,1.5598833574,1.0253875126,0.9782026728,0.9992529212,0.0046768200
1.5145374972,1.4898375225,1.5478601484,0.9638421361,0.9625301078,0.9633251347,0.0046768200
1.5508180382,1.4979162262,1.5035202262,0.9631500702,0.9629092123,0.9636393900,0.0046768200
1.5209318554,1.5447536569,1.4865517609,0.9623732413,0.9638457595,0.9634789203,0.0046768200
1.7141868253,1.6607558204,1.6401467267,1.0108676813,0.9408596319,0.9888695263,0.0046844500
1.4837093978,1.5369890916,1.5315194900,0.9638203476,0.9638451320,0.9620306340,0.0046844500
1.5772017796,1.5611457623,1.5965673144,0.9765431493,1.0237191452,1.0025606135,0.0046844500
1.5987339270,1.5670730745,1.5692501716,1.0131759995,1.0160422948,0.9736929359,0.0047073400
1.6466046550,1.5967138367,1.6546560215,0.9951470837,0.9697779325,1.0412500243,0.0047149700
1.6376182912,1.6548871633,1.7012928656,0.9288137446,0.9749271920,1.0102795702,0.0047454900
1.6977798963,1.6412610299,1.6360508171,0.9788471218,0.9728295456,0.9263105224,0.0047454900
1.7300863106,1.6773074822,1.6829254089,1.0180646349,1.0181245881,1.0163514698,0.0047454900
1.6629775827,1.7163855909,1.7109292077,1.0173185434,1.0170828647,1.0181399148,0.0047531200
1.7001501730,1.7241634234,1.6659927403,1.0181516512,1.0166938680,1.0176970858,0.0047531200
1.6257849177,1.6257916061,1.6257936919,1.0174220350,1.0174217416,1.0174208593,0.0047683700
1.6257849177,1.6257916061,1.6257936919,1.0174220350,1.0174217416,1.0174208593,0.0047683700
1.6257849177,1.6257916061,1.6257936919,1.0174220350,1.0174217416,1.0174208593,0.0047683700
1.7507848929,1.6016674869,1.6275010765,0.9752230512,0.9842304247,0.9405231340,0.0048141500
1.5456536349,1.5108193933,1.6572385581,0.9777740089,0.9468051322,0.9758205263,0.0048599300
1.6274873197,1.7247849156,1.6937229776,0.9756594134,0.9929876139,0.9597679206,0.0048675600
1.7153403794,1.6998499077,1.6719095160,1.0251375245,0.9725373621,1.0239704919,0.0048675600
1.7555571939,1.6986344496,1.6284570545,1.0004149687,1.0012570921,0.9550009912,0.0048904400
1.5878947159,1.7024709809,1.5502587517,1.0360464847,0.9523850290,0.9922720469,0.0048904400
1.5008300071,1.5255996196,1.6221198429,0.9544005492,0.9856104699,1.0021385311,0.0048980700
1.6355601447,1.5954437671,1.5998326922,1.0444678842,0.9987174154,0.9614014447,0.0049133300
1.7011543098,1.6315862359,1.7292638496,1.0165325217,0.9885901234,0.9638321599,0.0049209600
1.6779858772,1.7638211734,1.6151593856,0.9833794148,0.9706595690,0.9811132737,0.0049514800
1.6566292408,1.6273435199,1.5910574292,0.9371844642,1.0159805204,0.9451052209,0.0049667400
1.5700319722,1.6189842378,1.5497565514,0.9997161188,0.9140429353,0.9504391729,0.0049743700
1.6737282121,1.5850669805,1.6614186457,0.9940551858,1.0065990848,1.0351909811,0.0050048900
1.5271481323,1.7458937857,1.6374646399,0.9838974447,0.9598612311,1.0157252038,0.0050125200
1.7590449116,1.6311675143,1.6346000507,0.9823980732,1.0043158701,0.9393686477,0.0050277700
1.6460676854,1.7347594687,1.6643498414,0.9877222621,0.9934739456,0.9523808265,0.0050354000
1.6760208223,1.7079791624,1.7058552433,1.0050188243,1.0021606325,1.0442961201,0.0050506600
1.6245065172,1.6066741913,1.6812993347,0.9711253492,0.9292125257,1.0138208239,0.0050582900
1.7369393246,1.7310159099,1.6735681365,0.9925445716,0.9757060167,1.0025943589,0.0050582900
1.6979902804,1.7137336849,1.6782729146,1.0415138910,0.9945134496,1.0155358604,0.0050735500
1.6954889221,1.6795192267,1.7149567217,0.9928545608,1.0398574020,1.0188310931,0.0050811800
1.6273565704,1.6035581433,1.6406669095,1.0376202519,1.0158732288,0.9836373029,0.0051117000
1.6474843530,1.6594089739,1.5821285754,0.9548092558,1.0191174597,0.9413818435,0.0051193300
1.7729826735,1.6349199036,1.5760064407,0.9932425412,0.9907190091,0.9536478071,0.0051345900
1.6917425355,1.7298196332,1.6725442931,0.9925750403,0.9471845879,1.0129605304,0.0051498400
1.6593433132,1.6065507458,1.6121628572,1.0177445475,1.0175801529,1.0179377057,0.0051651000
1.6294256571,1.6533998804,1.5952170599,1.0171622187,1.0180348444,1.0180637713,0.0051651000
1.6484610076,1.7530684108,1.5603888148,0.9879331461,0.9502796001,0.9693690561,0.0051727300
1.5922346417,1.6456267672,1.6401649956,1.0181220998,1.0181073436,1.0170325583,0.0051727300
1.6061238669,1.6562049121,1.7648373746,1.0042190643,0.9961264718,0.9884871664,0.0051879900
1.7042271328,1.7293440587,1.7233037676,0.9916853334,1.0098347897,1.0284952748,0.0052032500
1.6961731602,1.5458833686,1.5065167681,0.9764274864,1.0028433249,0.9500273033,0.0052108800
1.6893916709,1.5540987401,1.4860083018,0.9740101414,0.9717112322,0.9579547295,0.0052490300
1.6723897697,1.5689351679,1.5327122619,1.0108313443,0.9990382532,0.9965371310,0.0052719100
1.7514763030,1.6169797933,1.6014385298,0.9631769177,1.0272244709,0.9704407737,0.0052719100
1.6092985195,1.7154099555,1.7230921539,0.9639213721,0.9927722602,0.9686069436,0.0052719100
1.6067748201,1.5648227730,1.7042610837,0.9137296035,0.9878537730,0.9940208385,0.0052795400
1.6906319570,1.7094593638,1.6196152713,1.0103909142,1.0309335019,0.9576285558,0.0052795400
1.7173832274,1.6109982215,1.6228166203,0.9982882683,1.0384421412,1.0073926300,0.0053024300
1.7258409648,1.7246390545,1.5861014517,1.0133888526,1.0187661466,0.9793699613,0.0053176900
1.4967522353,1.5285675373,1.5264244000,0.9507379798,0.9478531995,0.9899803816,0.0053176900
1.7411359714,1.5945804511,1.6490170818,0.9636477900,1.0353725056,0.9455505622,0.0053253200
1.5956927782,1.5398147361,1.4807733485,0.9836868892,0.9570768734,0.9219790585,0.0053482100
1.7409380288,1.6039009460,1.5536516164,0.9609534898,1.0082218192,0.9647172316,0.0053482100
1.5187465430,1.5343144104,1.4988279486,0.9873673722,0.9401765635,0.9611151765,0.0053558400
1.5162452147,1.5000986036,1.5355128248,0.9385268010,0.9856894996,0.9644234392,0.0053634700
1.6450518659,1.6454674481,1.7476698737,0.9751166639,0.9528909166,0.9854198852,0.0053939800
1.5377683542,1.5060313257,1.5082018121,0.9751568355,0.9780132000,0.9355572694,0.0053939800
1.5709176490,1.5620183101,1.5730938641,0.9781831812,0.9254785150,0.9241314738,0.0054016100
1.5923072800,1.5962904027,1.6792849654,0.9346345578,0.9342331805,1.0104341428,0.0054016100
1.6303493326,1.5915222149,1.6206870453,1.0251643055,1.0325553997,0.9828760910,0.0054550200
1.6501617834,1.5472264614,1.7030911435,0.9995902297,1.0382760200,0.9912211969,0.0054626500
1.6052776860,1.6372154709,1.6350839507,1.0051994620,1.0023253959,1.0446663775,0.0054626500
1.5023877727,1.6510443643,1.7046278669,0.9850692754,0.9511790763,1.0134507239,0.0054779100
1.7536683102,1.7183038766,1.6096724239,1.0095222179,1.0141129894,1.0012970850,0.0054779100
1.6272562119,1.6429661525,1.6074960435,1.0418727395,0.9946390345,1.0157669982,0.0054855400
1.7560096607,1.6810307847,1.6536450966,0.9656149295,1.0024803513,1.0014837601,0.0054931700
1.6247550499,1.6087519925,1.6441796221,0.9929722636,1.0402063518,1.0190777203,0.0054931700
1.7316605207,1.7316172612,1.7316321746,1.0006627920,1.0006635068,1.0005304834,0.0055084300
1.7678981074,1.7274808203,1.6475994274,1.0024535485,1.0053968951,0.9909081360,0.0055236800
1.7403398605,1.6154519825,1.5916839435,0.9782874073,0.9710355018,0.9282825124,0.0055389400
1.7207233212,1.6742021604,1.5481026976,0.9913677816,0.9800419266,1.0172089036,0.0055542000
1.7406037750,1.7001892064,1.7470202692,0.9913735517,1.0091429049,0.9988284034,0.0055542000
1.7599674823,1.6124531665,1.5855022945,0.9738335432,0.9989794266,0.9367396516,0.0055694600
1.6613873311,1.6239809866,1.7121366141,0.9742468330,1.0550737518,0.9566892445,0.0056076100
1.6234294483,1.6152530647,1.6601143481,1.0490668710,0.9993007296,0.9854271432,0.0056152400
1.5826554973,1.6905851464,1.6001757554,1.0059870703,1.0295537849,0.9773080607,0.0056152400
1.6456396281,1.6776703400,1.6738450946,0.9860357534,0.9220425002,0.9872790592,0.0056381300
1.6220719486,1.7145897878,1.6212255655,0.9428220151,0.9629049436,1.0346878199,0.0056457500
1.7127931004,1.5917141253,1.6017224829,0.9728758664,0.9491481046,0.9300902343,0.0056533800
1.6753763901,1.6900343378,1.6832798332,1.0085118102,1.0061524458,1.0507442176,0.0056533800
1.5883652864,1.5995797052,1.7305676782,0.9989603870,0.9557238297,0.9705077038,0.0056686400
1.6861088798,1.6366301564,1.7718120400,1.0009841356,1.0092620525,0.9712855078,0.0056839000
1.6664243362,1.5971039172,1.6008735713,0.9221058165,1.0122316259,0.9503357241,0.0056915300
1.7186724376,1.6404466869,1.5670391858,0.9777502204,0.9370580184,0.9853304193,0.0056991600
1.6818140286,1.6076758089,1.6434582417,0.9619504591,0.9729452091,0.9176693049,0.0056991600
1.6646860075,1.7452221744,1.6352770220,0.9997730708,0.9942371494,0.9467236865,0.0057067900
1.5050632375,1.7121105940,1.6401289873,0.9475552756,0.9486142674,1.0200321076,0.0057067900
1.7121945237,1.7464620602,1.7190003834,0.9937112003,0.9804162059,1.0233964033,0.0057144200
1.5668139678,1.6446804658,1.7477469437,0.9970036352,0.9675547884,0.9775203246,0.0057144200
1.6292231443,1.6974649229,1.6929913326,0.9515516891,1.0140612973,0.9562731891,0.0057220500
1.6144202587,1.5192425484,1.4917835372,0.9631963543,0.9859146735,0.9870331625,0.0057296800
1.7792021830,1.6508016658,1.6147255099,1.0201320955,1.0123709568,0.9970938983,0.0057373100
1.5285066926,1.6093561301,1.5726957894,0.9871449429,0.9079106948,0.9576589917,0.0057449400
1.5641636406,1.6428346263,1.7156196750,0.9199621103,0.9769937292,1.0227662026,0.0057754500
1.6551388378,1.6244535530,1.6708801173,1.0287151823,1.0424848610,0.9876505034,0.0058212300
1.7145208529,1.7148486019,1.7434064996,0.9888740896,0.9943694624,1.0341481413,0.0058364900
1.6738045686,1.7185653189,1.7284033296,0.9915335829,0.9613095376,1.0406529195,0.0058441200
1.5618616455,1.6551466985,1.7296405508,0.9550168396,0.9527316166,0.9666235590,0.0058746400
1.6632473243,1.6951362896,1.6965386802,1.0030290915,1.0182804022,0.9417118527,0.0058899000
1.7704660970,1.6162371623,1.6184904997,0.9589341666,1.0036635222,0.9626469858,0.0058899000
1.6464001765,1.6756957066,1.6409751414,0.9901329504,0.9851517917,1.0629569063,0.0059051500
1.7731342210,1.6474162833,1.7196276698,0.9934130190,1.0297985129,0.9684603666,0.0059051500
1.5700157012,1.6529774387,1.5041460245,1.0138601686,0.9220769688,0.9910211476,0.0059051500
1.6979274416,1.5822646901,1.7383871844,0.9614039921,1.0100943066,1.0304712682,0.0059127800
1.6338120384,1.7755528134,1.6578981328,0.9690454529,0.9802261302,0.9857886968,0.0059127800
1.6453772996,1.7180556703,1.6886173316,1.0397270018,1.0179178001,0.9768224235,0.0059280400
1.6775483782,1.5741675403,1.6778214522,0.9926752236,0.9395633014,1.0104154167,0.0059280400
1.7493064133,1.5990868963,1.6993562540,0.9878029650,0.9660353016,0.9709073943,0.0059433000
1.5542518947,1.5364531896,1.6868978858,0.9211444504,0.9597700417,0.9528770905,0.0059509300
1.7851479894,1.6578472284,1.5673409718,1.0127279933,0.9827493316,0.9718018561,0.0059585600
1.7242136836,1.6891235725,1.6236614013,1.0100440627,1.0431334816,0.9558357733,0.0059814500
1.6756476590,1.7221046700,1.6355803811,0.9928739141,0.9278083099,1.0144733476,0.0059890800
1.7055058936,1.6459526564,1.6967790898,0.9637456329,1.0304614779,0.9394354296,0.0060043400
1.5381118946,1.6050229526,1.4972577600,0.9658897040,0.9866927524,1.0077933942,0.0060272200
1.6869211382,1.6113339733,1.6515629393,0.9429762088,0.9972478239,0.9247471140,0.0060424800
1.6802864889,1.7096656398,1.6695309286,1.0168515124,1.0168985376,0.9416191447,0.0060424800
1.6153771456,1.7685024398,1.6884169218,0.9602524758,0.9787891791,0.9956045483,0.0060501100
1.6607013812,1.6186901220,1.7682723757,1.0135187300,0.9828417027,1.0086583400,0.0060653700
1.6193755171,1.6537483452,1.4944767207,0.9968806263,0.9199808232,0.9388634905,0.0060806300
1.5355702770,1.5801287132,1.5361949114,1.0114715372,0.9994138043,0.9837256637,0.0060806300
1.7613022991,1.6310842980,1.6490353801,0.9662881335,1.0459069305,0.9770184971,0.0060882600
1.6024441136,1.5868026513,1.4877932076,0.9412565119,1.0066701444,0.9661950379,0.0060882600
1.7051461329,1.7391644532,1.6348929024,0.9922641878,0.9444315044,1.0196790294,0.0060882600
1.6455755498,1.6812386337,1.7235387846,0.9887714040,1.0194047266,0.9439948209,0.0060958900
1.7101841696,1.7100208611,1.5855039800,1.0101079336,0.9943946124,1.0355315430,0.0060958900
1.6579852096,1.6366297804,1.6331992266,1.0425008575,1.0305832227,0.9925817186,0.0061035200
1.7186879505,1.7568983965,1.7038271956,1.0280419172,0.9872352187,1.0224346047,0.0061035200
1.6679663568,1.6508408628,1.6101900380,0.9663403923,0.9725226970,0.9141388781,0.0061187800
1.6473002752,1.6707695167,1.6478761048,0.9703144549,0.9913494085,1.0639887192,0.0061340400
1.4668648333,1.6190276349,1.6207207241,1.0043250538,0.9787610321,0.9794831049,0.0061340400
1.7883791028,1.6128589792,1.6543380258,0.9777981433,1.0194309167,0.9523977903,0.0061645500
1.6423432259,1.7487192193,1.6907208076,0.9858728139,1.0098125369,0.9616127930,0.0061798100
1.6084640032,1.6084640347,1.6084640137,1.0198222803,1.0198222618,1.0198222824,0.0061798100
1.6084640032,1.6084640347,1.6084640137,1.0198222803,1.0198222618,1.0198222824,0.0061798100
1.6084640032,1.6084640347,1.6084640137,1.0198222803,1.0198222618,1.0198222824,0.0061798100
1.6084640032,1.6084640347,1.6084640137,1.0198222803,1.0198222618,1.0198222824,0.0061798100
1.5491377891,1.5367510561,1.5917784410,1.0013125060,1.0102404035,0.9990686696,0.0061950700
1.4999385029,1.4998067300,1.4997934202,0.9663493422,0.9663362094,0.9661739802,0.0061950700
1.5365794620,1.6139437166,1.6821167107,0.9062361018,0.9824157524,0.9843384463,0.0062027000
1.5951067988,1.5530481519,1.6564624780,0.9802598183,1.0291604601,0.9235773952,0.0062103300
1.6350643087,1.7262582028,1.5448130350,0.9530292269,0.9604391073,0.9612911832,0.0062103300
1.6386088857,1.6928239683,1.5742142933,0.9742823264,1.0216078768,0.9393185549,0.0062255900
1.5215260398,1.6400683477,1.6730575864,0.9138013810,0.9898841280,0.9801695230,0.0062255900
1.6597062563,1.5882180886,1.7823276041,0.9654140490,1.0182719362,0.9647911943,0.0062332200
1.5972027839,1.5712654547,1.5673734410,0.9640276678,1.0067771374,1.0329375179,0.0062408500
1.5688392556,1.6094814342,1.7104035379,0.9079421363,0.9948434546,0.9889178012,0.0062408500
1.5918546414,1.7067241378,1.7521337418,0.9528692295,0.9928184331,0.9785844169,0.0062484800
1.6512151586,1.6119571791,1.7074732384,1.0140731379,1.0539305288,0.9835562461,0.0062561100
1.5762433388,1.7216036322,1.5660103651,0.9638516196,0.9938861833,0.9529706465,0.0062561100
1.6968627795,1.6854903129,1.6778577204,1.0379039802,1.0370428940,0.9642666979,0.0062637400
1.5960915148,1.6452401114,1.5316382017,0.9588322822,0.9956403300,0.9209622393,0.0062637400
1.5529841394,1.5299424950,1.6367393871,0.9867998757,1.0267711453,0.9988027950,0.0062713700
1.5733140840,1.5749665686,1.7367597207,0.9700290844,0.9430121180,0.9833872057,0.0062713700
1.6702318738,1.7064052545,1.5965726959,0.9490453133,0.9973798973,0.9490120020,0.0062713700
1.5334464625,1.6059837015,1.6061312658,0.9099386685,0.9878875768,0.9515157593,0.0062789900
1.4393628209,1.6037613653,1.6079521795,0.9578488731,0.9796107763,0.9978592477,0.0063171400
