r0,r1,r2,E
1.570282260121,0.949676529800,0.949676529800,-75.985359168637
1.556388884149,0.950000000000,0.950000000000,-75.985295700183
1.587426841685,0.950000000000,0.950000000000,-75.985272741666
1.570070521034,0.950000000000,0.966666666667,-75.985033299521
1.570070521034,0.966666666667,0.950000000000,-75.985033299520
1.573528697828,0.950000000000,0.933333333333,-75.985017528733
1.542765967975,0.950000000000,0.933333333333,-75.984969631330
1.542765967975,0.933333333333,0.950000000000,-75.984969631329
1.601377828019,0.950000000000,0.966666666667,-75.984939439988
1.601377828019,0.966666666667,0.950000000000,-75.984939439987
1.583693952292,0.966666666667,0.966666666667,-75.984778987398
1.559577247971,0.933333333333,0.933333333333,-75.984772707131
1.524034066235,0.950000000000,0.950000000000,-75.984704431891
1.556506313212,0.933333333333,0.966666666667,-75.984699062104
1.556506313212,0.966666666667,0.933333333333,-75.984699062104
1.617121677630,0.950000000000,0.950000000000,-75.984678995589
1.587532515869,0.966666666667,0.933333333333,-75.984673907404
1.529083816006,0.933333333333,0.933333333333,-75.984651810090
1.615276435398,0.966666666667,0.966666666667,-75.984616386927
1.537435000856,0.966666666667,0.950000000000,-75.984516185584
1.602960279400,0.950000000000,0.933333333333,-75.984491765467
1.602960279400,0.933333333333,0.950000000000,-75.984491765465
1.550771505993,0.966666666667,0.966666666667,-75.984333812837
1.588751121882,0.933333333333,0.933333333333,-75.984317007499
1.510698131258,0.950000000000,0.933333333333,-75.984304432168
1.631330419856,0.966666666667,0.950000000000,-75.984277814659
1.583809356864,0.983333333333,0.950000000000,-75.984247417110
1.524164051364,0.966666666667,0.933333333333,-75.984110224671
1.559684809065,0.950000000000,0.916666666667,-75.984101232711
1.615380287732,0.983333333333,0.950000000000,-75.984082771438
1.617216356255,0.933333333333,0.966666666667,-75.984078175552
1.617216356255,0.966666666667,0.933333333333,-75.984078175551
1.597375091702,0.983333333333,0.966666666667,-75.984001141573
1.597375091702,0.966666666667,0.983333333333,-75.984001141569
1.529203341854,0.950000000000,0.916666666667,-75.983982685090
1.497296626476,0.933333333333,0.933333333333,-75.983910478094
1.570303324122,0.983333333333,0.933333333333,-75.983905061749
1.645492233378,0.966666666667,0.966666666667,-75.983888981353
1.545679584340,0.933333333333,0.916666666667,-75.983866901867
1.601587328419,0.983333333333,0.933333333333,-75.983806967458
1.550899250186,0.950000000000,0.983333333333,-75.983804508996
1.550899250186,0.983333333333,0.950000000000,-75.983804508996
1.629226974056,0.983333333333,0.966666666667,-75.983769918817
1.629226974056,0.966666666667,0.983333333333,-75.983769918814
1.573741905577,0.916666666667,0.966666666667,-75.983747193619
1.573741905577,0.966666666667,0.916666666667,-75.983747193618
1.543002890688,0.966666666667,0.916666666667,-75.983703834872
1.515461433477,0.933333333333,0.916666666667,-75.983673223365
1.588847491095,0.950000000000,0.916666666667,-75.983643409210
1.564171889946,0.983333333333,0.966666666667,-75.983627955287
1.645448267190,0.950000000000,0.950000000000,-75.983562026831
1.574590153909,0.916666666667,0.933333333333,-75.983481209131
1.574590153909,0.933333333333,0.916666666667,-75.983481209124
1.490389763347,0.950000000000,0.950000000000,-75.983459848383
1.631035799048,0.950000000000,0.933333333333,-75.983440131851
1.631035799048,0.933333333333,0.950000000000,-75.983440131849
1.537692694497,0.983333333333,0.933333333333,-75.983392638132
1.645585279706,0.983333333333,0.950000000000,-75.983353516331
1.503498894925,0.950000000000,0.966666666667,-75.983349211023
1.503498894925,0.966666666667,0.950000000000,-75.983349211022
1.616580753731,0.933333333333,0.933333333333,-75.983332719294
1.497428932565,0.950000000000,0.916666666667,-75.983243950791
1.516536952178,0.966666666667,0.966666666667,-75.983242180591
1.610999020435,0.983333333333,0.983333333333,-75.983231278541
1.603151303742,0.966666666667,0.916666666667,-75.983217327221
1.631518122517,0.983333333333,0.933333333333,-75.983141513035
1.631518122517,0.933333333333,0.983333333333,-75.983141513028
1.659902942276,0.950000000000,0.966666666667,-75.983095727586
