r0,r1,r2,E
1.378879997600,0.900000000000,0.900000000000,-75.974068806845
1.428036012500,0.900000000000,0.900000000000,-75.977448511818
1.474473679700,0.900000000000,0.900000000000,-75.979275559498
1.417546607300,0.900000000000,0.950000000000,-75.977782913979
1.468019266600,0.900000000000,0.950000000000,-75.980776425569
1.515702624200,0.900000000000,0.950000000000,-75.982239745228
1.456903126400,0.900000000000,1.000000000000,-75.976170081008
1.508600106500,0.900000000000,1.000000000000,-75.978769736916
1.557445427000,0.900000000000,1.000000000000,-75.979865559908
1.496895138500,0.900000000000,1.050000000000,-75.970806673252
1.549731588100,0.900000000000,1.050000000000,-75.973012688181
1.599661861400,0.900000000000,1.050000000000,-75.973744705186
1.537473054000,0.900000000000,1.100000000000,-75.962830915725
1.591371015600,0.900000000000,1.100000000000,-75.964650878087
1.642315403300,0.900000000000,1.100000000000,-75.965029631673
1.578591691300,0.900000000000,1.150000000000,-75.953066663206
1.633479544800,0.900000000000,1.150000000000,-75.954514513020
1.685372865800,0.900000000000,1.150000000000,-75.954556347563
1.620209882600,0.900000000000,1.200000000000,-75.942111825905
1.676021818900,0.900000000000,1.200000000000,-75.943206536914
1.728804069200,0.900000000000,1.200000000000,-75.942932312330
1.455484441900,0.950000000000,0.950000000000,-75.981512784108
1.507371346600,0.950000000000,0.950000000000,-75.984151157580
1.556388884100,0.950000000000,0.950000000000,-75.985280413926
1.494132369500,0.950000000000,1.000000000000,-75.979913637481
1.547338419900,0.950000000000,1.000000000000,-75.982189006433
1.597603916000,0.950000000000,1.000000000000,-75.982980510728
1.533436700500,0.950000000000,1.050000000000,-75.974564758356
1.587874048800,0.950000000000,1.050000000000,-75.976476705146
1.639307837500,0.950000000000,1.050000000000,-75.976933711461
1.573348242200,0.950000000000,1.100000000000,-75.966606225603
1.628935788900,0.950000000000,1.100000000000,-75.968161310880
1.681464272500,0.950000000000,1.100000000000,-75.968293461332
1.613821944400,0.950000000000,1.150000000000,-75.956862794367
1.670484843900,0.950000000000,1.150000000000,-75.958073595099
1.724040026600,0.950000000000,1.150000000000,-75.957895948653
1.654816559300,0.950000000000,1.200000000000,-75.945932504382
1.712485743800,0.950000000000,1.200000000000,-75.946816370998
1.767004789700,0.950000000000,1.200000000000,-75.946348208056
1.532088886200,1.000000000000,1.000000000000,-75.978325320901
1.586706680600,1.000000000000,1.000000000000,-75.980268752041
1.638304088600,1.000000000000,1.000000000000,-75.980752616735
1.570719953700,1.000000000000,1.050000000000,-75.972987470874
1.626659151400,1.000000000000,1.050000000000,-75.974598217092
1.679506564700,1.000000000000,1.050000000000,-75.974777454370
1.609977015600,1.000000000000,1.100000000000,-75.965042167652
1.667153831900,1.000000000000,1.100000000000,-75.966325962295
1.721175271500,1.000000000000,1.100000000000,-75.966209430305
1.649815386200,1.000000000000,1.150000000000,-75.955315212230
1.708152160600,1.000000000000,1.150000000000,-75.956283384929
1.763277156200,1.000000000000,1.150000000000,-75.955884911599
1.690193961200,1.000000000000,1.200000000000,-75.944404907595
1.749618732300,1.000000000000,1.200000000000,-75.945073236427
1.805781920400,1.000000000000,1.200000000000,-75.944410531503
1.608693330500,1.050000000000,1.050000000000,-75.967660191934
1.666042014600,1.050000000000,1.050000000000,-75.968968888455
1.720219293000,1.050000000000,1.050000000000,-75.968873270208
1.647309105900,1.050000000000,1.100000000000,-75.959727038629
1.705981240900,1.050000000000,1.100000000000,-75.960738753285
1.761410381200,1.050000000000,1.100000000000,-75.960376454041
1.686523154000,1.050000000000,1.150000000000,-75.950014927310
1.746438660200,1.050000000000,1.150000000000,-75.950739851452
1.803047044900,1.050000000000,1.150000000000,-75.950123535120
1.726294704800,1.050000000000,1.200000000000,-75.939122516340
1.787379085000,1.050000000000,1.200000000000,-75.939574924136
1.845099119600,1.050000000000,1.200000000000,-75.938720772292
1.685297774900,1.100000000000,1.100000000000,-75.951806941623
1.745377348600,1.100000000000,1.100000000000,-75.952551108637
1.802134497400,1.100000000000,1.100000000000,-75.951950621062
1.723899617000,1.100000000000,1.150000000000,-75.942109920485
1.785304507400,1.100000000000,1.150000000000,-75.942595697298
1.843315209800,1.100000000000,1.150000000000,-75.941768599983
1.763074357200,1.100000000000,1.200000000000,-75.931235047324
1.825727876500,1.100000000000,1.200000000000,-75.931475289405
1.884922592100,1.100000000000,1.200000000000,-75.930436307075
1.761902219200,1.150000000000,1.150000000000,-75.932429334665
1.824712682700,1.150000000000,1.150000000000,-75.932684189257
1.884049701900,1.150000000000,1.150000000000,-75.931656892072
1.800491313600,1.150000000000,1.200000000000,-75.921572689623
1.864628800700,1.150000000000,1.200000000000,-75.921608157798
1.925220921200,1.150000000000,1.200000000000,-75.920394022443
1.838506663500,1.200000000000,1.200000000000,-75.910735427517
1.904048016700,1.200000000000,1.200000000000,-75.910576446905
1.965964906300,1.200000000000,1.200000000000,-75.909199266957
