
Host: adabbott

Timers On : Fri Jul 19 15:28:15 2019
Timers Off: Fri Jul 19 15:28:16 2019

Wall Time:        0.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form F                          :      0.000u      0.000s      0.000w     37 calls
HF: Form D                          :      0.000u      0.000s      0.000w     37 calls
HF: DIIS                            :      0.000u      0.000s      0.012w     36 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w     33 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.002w     33 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     33 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     33 calls
New vector                          :      0.000u      0.000s      0.000w     33 calls
HF: Form C                          :      0.000u      0.000s      0.001w     36 calls
Grad: V T Perturb                   :      0.033u      0.000s      0.012w      4 calls
Grad: S                             :      0.017u      0.000s      0.001w      4 calls
Grad: JK                            :      0.183u      0.000s      0.123w      4 calls
Grad: XC                            :      0.000u      0.000s      0.000w      4 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.167u      0.000s      0.099w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      4 calls
HF: Guess                           :      0.217u      0.000s      0.125w      4 calls
| SAD Guess                         :      0.200u      0.000s      0.117w      1 calls
HF: Form G                          :      0.000u      0.000s      0.002w     37 calls
| JK: D                             :      0.000u      0.000s      0.000w     37 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     37 calls
| JK: JK                            :      0.000u      0.000s      0.000w     37 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.000u      0.000s      0.000w     37 calls
HF: Form D                          :      0.000u      0.000s      0.000w     37 calls
HF: DIIS                            :      0.000u      0.000s      0.012w     36 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w     33 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.002w     33 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     33 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     33 calls
| | New vector                      :      0.000u      0.000s      0.000w     33 calls
HF: Form C                          :      0.000u      0.000s      0.001w     36 calls
Grad: V T Perturb                   :      0.033u      0.000s      0.012w      4 calls
Grad: S                             :      0.017u      0.000s      0.001w      4 calls
Grad: JK                            :      0.183u      0.000s      0.123w      4 calls
Grad: XC                            :      0.000u      0.000s      0.000w      4 calls

**************************************************************************************

Host: adabbott

Timers On : Fri Jul 19 16:32:50 2019
Timers Off: Fri Jul 19 16:32:51 2019

Wall Time:        0.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.033u      0.000s      0.025w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.217u      0.000s      0.129w      1 calls
SAD Guess                           :      0.200u      0.000s      0.121w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w     11 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      0.000u      0.000s      0.000w     11 calls
PK computes JK                      :      0.000u      0.000s      0.000w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.017u      0.000s      0.003w     10 calls
DIISManager::add_entry              :      0.000u      0.000s      0.000w     10 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.001w     10 calls
bMatrix setup                       :      0.017u      0.000s      0.000w     10 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w     10 calls
New vector                          :      0.000u      0.000s      0.000w     10 calls
HF: Form C                          :      0.000u      0.000s      0.000w     10 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.003w      1 calls
Grad: S                             :      0.000u      0.000s      0.000w      1 calls
Grad: JK                            :      0.033u      0.000s      0.030w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.033u      0.000s      0.025w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.217u      0.000s      0.129w      1 calls
| SAD Guess                         :      0.200u      0.000s      0.121w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w     11 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      0.000u      0.000s      0.000w     11 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.000w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.017u      0.000s      0.003w     10 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.000w     10 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.001w     10 calls
| | bMatrix setup                   :      0.017u      0.000s      0.000w     10 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w     10 calls
| | New vector                      :      0.000u      0.000s      0.000w     10 calls
HF: Form C                          :      0.000u      0.000s      0.000w     10 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.003w      1 calls
Grad: S                             :      0.000u      0.000s      0.000w      1 calls
Grad: JK                            :      0.033u      0.000s      0.030w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************
